substance_name	allergic_patients_count	medications_count
Mercurius Solubilis Hahnemanni Dil D8, Cistus Canadensis Dil. D6, Acidum Silicicum Dil. D8	0	1
Calcium, Lactic Acid, Magnesium, Potassium, Sodium, Chloride Ion	0	2
Valeriana Ø, Spigelia Dil. D4, Crataegus Mother Tincture, Cactus Dil. D2	0	1
Amlodipine, Perindopril Arginine	0	18
Fragaria Vesca, Folium Sicc., Vitis Vinifera, Folium Sicc.	0	1
Orthosiphon Leaves Dry Extract (5-7: 1) Extraction Solvent: Water, Dry Extract Of Goldenrod (4-7:1), Ononis Spinosa Dry Extract	0	2
Cinchona Bark, Gentian Root, Bitter Orange Peel, Cinnamomi Cortex	0	1
Desfesoterodine Succinate	0	1
Latrodectus Mactans D4, Kalmia D2, Strophanthus D4, Convallaria Majalis Dil. D4, Crataegus Mother Tincture	0	1
Aurum Metallicum Praeparatum Dil. D10 Aquos., Ferrum Sidereum Dil. D10 Aquos.	0	1
Hydrocortisone Acetate, Lidocaine Hydrochloride Monohydrate	0	1
Potassium Chloride, Sodium Chloride, Glucose Monohydrate, Sodium-L-Lactate	0	1
Sparsentan	0	1
Dry Extract Passion Flower (5-7:1), Extraction Solvent: Ethanol 60% V/V	0	3
Matricaria Recutita Trit. D4, Calcium Carbonicum Hahnemanni D8, Carbo Vegetabilis D12, Solanum Dulcamara D6	0	1
Butylhydroxytoluene, Cod-Liver Oil, Sodium Bituminosulfonate Light	0	1
Rosemary Oil	0	4
Tincture Of Valerian Root (1:5), Extraction Liquid: Ethanol 70 V/V, Leonurus Cardiaca Tincture, Tincture From Hawthorn Berries (1:10): Extraction S...	0	1
Agrostis Stolonifera Pollen	0	1
Felbamate	0	4
Nebivolol Hydrochloride	0	85
Charcoal, Activated	0	38
Arnica Montana Trit. D 4, Hepar Sulfuris Trit. D 6, Phytolacca Americana Trit D 4, Atropa Bella-Donna Trit. D4, Hydrargyrum Bicyanatum Trit. D8, Ap...	0	1
Corylus Avellana, Aluminium Hydroxide	0	1
Haemophilus Influenzae Type B Polysaccharide (Polyribosylribitol Phosphate), Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Hepatitis B Surfa...	0	3
Phenylephrine Hydrochloride, Cetylpyridinium Chloride, Guaifenesin, Paracetamol	0	6
Sodium Ascorbate, Dried Ferrous Sulfate	0	1
Doxazosin	0	65
Loxapine Succinate	0	2
Betamethasone, Calcipotriol, Anhydrous	0	8
Juglans Regia L.	0	19
Rasburicase	0	1
Tetryzoline Hydrochloride	0	27
Acidum Arsenicosum Dil. D 4, Acidum Arsenicosum Dil. D10, Daphne Mezereum Dil D2, Acidum Arsenicosum Dil. D1000, Acidum Arsenicosum Dil. D200, Acid...	0	1
Ethanol, Psychotria Ipecacuanha Dil. D4, Bryonia Dil. D4, Drosera Dil. D3, Euspongia Officinalis Dil. D6, Kalium Stibyltartaricum Dil. D4	0	1
Mitoxantrone Hydrochloride Ph. Eur.	0	1
Cartilago Suis D10, Cartilago Suis D200, Cartilago Suis D30	0	1
Viscum Album Crataegi Ex Herba Recente Col. D30	0	1
Apis Mellifica Dil. D4, Phytolacca Americana Dil. D4, Arnica Montana Dil. D4, Hepar Sulfuris Dil. D6, Atropa Belladonna Dil. D4	0	1
Glandula Thyreoidea Bovis Gl Dil. D7 (Hab, Vs. 41a), Ferrum Metallicum Dil. D9	0	1
Passiflora Dry Extract, Valerian Root Dry Extract (3-6:1), Ethanol 70 %(V/V), Melissa Leaf Dry Extract (Der: 3 - 7 : 1)	0	1
Codeine Phosphate Bp	0	3
Dimenhydrinate	0	55
Lidocaine Hydrochloride Monohydrate, Phenylephrine Hydrochloride, Tropicamide	0	4
Benfotiamine, Cyanocobalamin, Pyridoxine Hydrochloride	0	14
Indapamide, Amlodipine Besilate	0	9
Propyphenazone, Salicylamide, Caffeine, Codeine Phosphate Hemihydrate, Magnesium Oxide	0	1
Sus Scrofa Thymus	0	1
Epidermophyton Floccosum	0	18
Meropenem Trihydrate	0	29
Calcium, Sulfate	0	1
Valeriana Officinalis L. Radix	0	4
Ammi Visnaga Spag. Peka Dil. D6, Grindelia Robusta Spag. Peka Dil. D6, Cobaltum Nitricum Dil. D4, Lactuca Virosa Dil. D12, Aralia Racemosa Dil. D8,...	0	1
Framycetin Sulfate, Naphazoline Nitrate, Prednisolone Acetate	0	1
Osimertinib	0	1
Cinchona Pubescens Ø, Psychotria Ipecacuanha Dil. D2, Citrullus Colocynthis Dil. D3	0	1
Desmopressin Acetate Trihydrate	0	9
Lauromacrogol 400, Matricariae Extractum Spissum, Lidocaine Hydrochloride	0	1
Aurum Metallicum Praeparatum Dil. D30, Myrrha Dil. D6, Olibanum Dil. D12	0	1
Hydrocortisone Acetate, Nystatin	0	1
Potassium Chloride, Sodium Chloride, Sodium Citrate, Glucose	0	5
Spinach	0	8
Dry Hydroalcoholic Extract (36.3 % V/V) Of Valerian (Valeriana Officinalis L. Radix) (2.25 – 3.6 : 1)	0	2
Matricariae Flos, Melissa Leaf, Centaurii Herba, Calamus Rhizome, Millefolii Herba	0	1
Cabozantinib	0	6
Sambucus Nigra Ø	0	1
Triamcinolone Diacetate	0	1
Aloe Juice Dried, Powdered, Frangulae Corticis Extractum Siccum	0	1
Festuca Rubra Pollen	0	1
Nintedanib Esylate	0	17
Chlorhexidine Gluconate, Hydrocortisone	0	1
Cyanocobalamin, Folic Acid, Ferrous Fumarate, Potassium Iodide	0	2
Ascorbic Acid, Betacarotene, Ergocalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Pyridoxine, Riboflavin, Thiamine, Zinc, Calcium, Chromium, C...	0	1
Heparin Sodium, Benzocaine, Aesculus Hippocastanum L.	0	1
Pinus Sylvestris Ø, Kalium Iodatum Dil. D4, Drosera Dil. D1, Lobelia Inflata Dil. D4, Echinacea Purpurea Mother Tincture	0	1
Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Glucose, Lactic Acid	0	1
Dry Extract From Fresh Purple Coneflower Herb (1:7.5-14.6), Extraction Solvent: Ethanol 65% V/V, Dry Extract From Fresh Purple Coneflower Root (1:7...	0	1
Magnesium Chloride Hexahydrate, Calcium, Lactic Acid, Sodium, Chloride Ion, Hydrogen Carbonate	0	1
Bismuth Subgallate	0	3
Rhododendron D4, Rhus Toxicodendron D4, Calcium Phosphoricum D12, Causticum Hahnemanni D6, Berberis Vulgaris D4, Solanum Dulcamara D4	0	1
Tianeptine	0	1
Aconitum Napellus Dil. D5, Echinacea Dil. D5, Eupatorium Perfoliatum Dil. D1, Ferrum Phosphoricum Dil. D8	0	1
Evolocumab	0	1
Naftidrofuryl Oxalate	0	10
Celery	0	8
Zidovudine	0	9
Argentum Nitricum D6, Sulfur D12, Conium Maculatum D6, Graphites D12	0	1
Colocynthis D 6, Ononis Spinosa D2, Betula Pendula D1, Acidum Oxalicum D8, Colchicum D8, Terebinthina D3, Gnaphalium Polycephalum D6, Berberis Vulg...	0	1
Glycopyrronium Bromide, Formoterol Fumarate Dihydrate, Beclometasone Dipropionate Anhydrous	0	2
Perindopril Tert-Butylamine, Amlodipine, Indapamide	0	11
Siberian Ginseng Root	0	1
Disodium Folinate	0	4
Liquid Extract Of Dandelion Herb With Root, Liquid Extract From Boldo Leaf	0	1
Benzylpenicillin	0	14
Irinotecan Hydrochloride	0	6
Pyrethrum Extract	0	1
Technetium (99mtc) Succimer, Dimercaptosuccinic Acid	0	1
Abatacept	0	1
Erythromycin Propionate	0	1
Metoclopramide Hydrochloride	0	58
Capsicum Oleoresin, Methyl Salicylate, Turpentine Oil	0	1
Velmanase Alfa	0	1
Anhydrous Apomorphine Hydrochloride	0	4
Gelsemium Sempervirens Dil. D 6, Sulfur Dil. D 8, Zincum Metallicum Dil. D10, Phosphorus Dil. D8, Aconitum Napellus Dil. D3, Hydrargyrum Bichloratu...	0	1
Pantoprazole Sodium Sesquihydrate	0	124
Clodronate Disodium Tetrahydrate	0	9
Dextromethorphan Hydrobromide, Promethazine Hydrochloride, Paracetamol	0	6
Levomenthol, Camphor, Racemic, Cedar Wood Oil, Eucalyptus Oil, Thymol, Turpentine Essential Oil	0	1
Bamipine Lactate	0	2
Hypericum Perforatum Dry Extract (3,5 - 6,0:1), Extract Ethanol 60% (M/M)	0	11
Pressed Juice From Fresh Mistletoe Herb (1 : 1.60 – 2.20)	0	1
Strychnos Nux-Vomica Dil. D4, Lycopodium Dil. D5, Acidum Nitricum Dil. D6, Aesculus Dil. D2, Collinsonia Canadensis Dil. D4, Hamamelis Dil. D3, Pae...	0	1
Eflornithine	0	1
Menthae Piperitae Folium, Centaurii Herba, Malvae Folium	0	1
Calcium Fluoratum Trit. D 3, Euspongia Officinalis Trit. D 3, Lapis Albus Trit. D 4, Spongilla Lacustris Trit. D 3, Thyreoidinum E Gland. Thyreoid....	0	1
Turpentine Oil	0	3
Ambra Grisea Dil. D 4, Barium Chloratum Dil. D 10, Barium Iodatum Dil. D 10, Kalium Iodatum Dil. D 3, Phosphorus Dil. D 12, Selenicereus Grandiflor...	0	1
Flurbiprofen	0	247
Octocog Alfa	0	3
Chondroitin Sulfate Sodium, Glucosamine Sulfate Sodium Chloride	0	2
Daphne Mezereum Dil. D 4, Marsdenia Cundurango Dil. D3, Chamomilla Recutita Dil. D2, Hydrastis Canadensis Dil. D4	0	1
Lachesis Dil. D10, Ovarium Suis Dil. D8, Aquilegia Vulgaris Dil. D4, Lilium Lancifolium Dil. D4, Apisinum Dil. D8, Mercurius Solubilis Hahnemanni D...	0	1
Atezolizumab	0	1
Human Normal Immunoglobulin (Iv)	0	7
Polihexanide	0	1
Soft Extract From Ivy Leaf (2.2-2.9:1), Extraction Solvents: Ethanol 96% (V/V), Propylene Glycol, Water (45:2:53) (M/M/M)	0	1
Dry Extract Of Goldenrod (4-6:1), Extraction Solvent: Water, Dry Extract Of Birch Leaf (4.5-6.5:1), Extraction Solvent: Water	0	1
Magnesium Thiosulfuricum Dil. D4 Aquos	0	1
Brucella Melitensis Extractum Cellulae (Lyophil., Steril.) D6	0	1
Rubella Virus Wistar Ra 27/3 Strain (Live, Attenuated) Produced In Wi-38 Human Diploid Lung Fibroblasts, Mumps Virus Jeryl Lynn (Level B) Strain (L...	0	2
Tirbanibulin	0	1
Alder Pollen	0	1
Fennel, Bitter, Matricariae Flos, Menthae Piperitae Folium, Carum Carvi, Pimpinella Anisum	0	1
Neomycin Sulfate, Ephedrine Hydrochloride	0	1
Chelidonium Majus Dil. D4, Taraxacum Officinale Ø, Silybum Marianum Mother Tincture	0	1
Arnica, Planta Tota 2b Ø, Urtica Urens, Herba Rec. Ø	0	1
Crataegi Folium Cum Flore, Passion Flower Dry Extract (Der 4-7:1), Extraction Solvent: Ethanol 60% (V/V), Valeriana Officinalis Extract, Ballota Nigra	0	1
Hamamelis Bark Dry Extract (5.0-7.7:1)	0	1
Phenytoin	0	19
Sodium Bromide	0	1
Doxylamine	0	2
Lupuli Flos Dry Alcoholic Extract, Valerian Root Te With Ethanol/Ethanol Water, Trockenextrakt Aus Passionsblumenkraut 5-7:1, Auszugsmittel Ethanol...	0	1
Betula Pendula E Cortice, Decoctum Dil. D2 (Hab, Vs. 23a), Galenit Dil. D7, Nicotiana Tabacum E Foliis Ferm 33b Dil. D5 (Hab, Vs. 33b), Retina Et C...	0	1
Kalium Bichromicum D12, Kalium Bichromicum D6, Kalium Bichromicum D4	0	1
Recombinant Varicella Zoster Virus Glycoprotein E, Stimulon, 3-O-Desacyl-4'-Monophosphoryl Lipid A	0	1
Thiamine	0	3
Acidum Ascorbicum D10, Acidum Ascorbicum D200, Acidum Ascorbicum D30	0	1
Ethinylestradiol, Norelgestromin	0	1
Modified Vaccinia Ankara – Bavarian Nordic Live Virus	0	1
Castanea Sativa	0	23
Viscum Album Mother Tincture	0	2
Apis Mellifica Ex Animale Toto Gl Dil. D7 (Hab, Vs. 41c), Atropa Belladonna E Radice Ferm 33b Dil. D5 (Hab, Vs. 33b), Bryonia Cretica Ferm 33b Dil....	0	1
Glucarpidase	0	1
Passion Fruit	0	7
Codeine Phosphate, Ephedrine Hydrochloride	0	1
Dimethyl Sulfoxide, Prasterone, Epidermal Growth Factor, Interleukin-2, Ribonucleic Acid, Specific Nucleic Acid Sna-Hla I, Specific Nucleic Acid Sn...	0	1
Lidocaine, Tetracaine	0	8
Benzalkonium Chloride Solution, Isopropyl Alcohol, Undecylenic Acid	0	1
Indobufen	0	2
Prunus Persica (613)	0	2
Syzygium Cumini Dil. D30, Syzygium Cumini Dil. D4, Syzygium Cumini Dil. D200, Syzygium Cumini Dil. D12	0	1
Epinephrine, Mepivacaine	0	1
Metamizole Sodium	0	35
Calendula Officinalis Mother Tincture	0	11
Valerianae Radix Dry Extract	0	10
Ammonium Chloride, Plantago Lanceolata Fluid Extract, Liquiritiae Extractum Fluidum	0	1
Fucus Vesiculosus D2	0	1
Oxatomide	0	1
Cinnarizine, Dimenhydrinate	0	31
Dexamethasone	0	120
Lazertinib Mesilate Monohydrate	0	1
Avacopan	0	1
Hydrocortisone Hydrogen Succinate	0	3
Potassium Hydrogen Aspartate Hemihydrate, Magnesiumbis(Hydrogen-Dl-Aspartate) Tetrahydrate	0	1
Dutasteride, Tamsulosin	0	16
Mebeverine Hydrochloride Bp	0	1
Calcarea Carbonica Ostrearum, Calcarea Fluorica, Calcarea Phosphorica, Sulfur Iodatum	0	1
Sarilumab	0	1
Trientine	0	5
Alternaria Alternata (402)	0	3
Fish Oil	0	3
Nitrofurantoin Anhydrous	0	1
Chlorite Ion, Chlorate Ion, Sulfate, Sodium Ion, Chloride Ion	0	1
Cyanocobalaminum D10, Cyanocobalaminum D200, Cyanocobalaminum D30	0	1
Ascorbic Acid, Calcium Carbonate, Calcium Lactate Gluconate	0	2
Heparin Sodium, Zinc Sulphate Heptahydrate	0	1
Piperacillin Sodium, Tazobactam Sodium, Piperacillin, Tazobactam, Piperacillin Monohydrate	0	1
Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Sodium Sulfate Anhydrous, Macrogol 4000, Sodium Biphosphate	0	1
Dry Extract From Hawthorn Leaf And Flower (4-6.6:1), Extraction Solvent: Ethanol 45% (M/M)	0	3
Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Acetate Trihydrate	0	20
Bisoprolol Fumarate, Hydrochlorothiazide	0	38
Rhus Toxicodendron D4, Daphne Mezereum D4, Natrium Chloratum D6	0	1
Tildrakizumab	0	1
Acoramidis	0	1
Extract From Calendula Flower (Der 13-17:1), Extraction Solvent: Carbon Dioxide	0	1
Naloxone, Oxycodone	0	14
Centella Asiatica Triterpenoid Extract	0	2
Zinc Gluconate Trihydrate	0	1
Arginine Hydrochloride, Disodium Phosphate, Anhydrous, Sorbitol (E420), Sodium Sulfate Anhydrous	0	1
Conchae, Quercus, Ethanol. Decoctum Trit. D3	0	1
Goat Hair	0	1
Pertussis Toxoid Adsorbed On Aluminium Hydroxide, Pertussis Pertactin Adsorbed On Aluminium Hydroxide, Poliovirus (Inactivated) Type 3 (Saukett Str...	0	1
Silicea D30, Hekla Lava E Lava D12, Calcium Carbonicum Hahnemanni D30, Calcium Fluoratum D12, Calcium Phosphoricum D12	0	1
Disodium Phosphate, Sodium Dihydrogen Phosphate Anhydrous	0	1
Liquid Extract Of Thyme (1:3.45-3.85), Extraction Solvent: Ethanol 27%(V/V)	0	1
Berberis Vulgaris Dil. D2, Chelidonium Majus Dil. D4, Veronicastrum Virginicum Dil. D2, Cholesterolum D4, Quassia Amara D4, Taraxacum Dil. D2, Card...	0	1
Iron Sucrose	0	16
Pyrimethamine, Sulfadoxine	0	1
Temozolomide	0	34
Acarus Siro Extract	0	1
Escherichia Coli, Lyophilized, Escherichia Coli (Inactivated), Proteus Mirabilis (Inactivated), Klebsiella Pneumoniae (Inactivated), Enterococcus F...	0	1
Metoprolol Tartrate, Chlortalidone	0	1
Caraway Fruit, Menthae Piperitae Folium, Cortex Frangulae, Cassia Senna L. Folium, Sambucus Nigra Fruit	0	1
Veratrum Album Dil. D 4, Camphora Dil. D4, Nitroglycerinum Dil. D6, Crataegus Dil. D4, Tabacum Dil. D4	0	1
Anhydrous Zoledronic Acid	0	5
Gelsemium Sempervirens Dil. D4, Simarouba Cedron Dil. D6, Verbascum Densiflorum Dil. D3	0	1
Paracetamol Dc	0	1
Clonixin Lysinate	0	2
Diazepam Bp	0	2
Levomenthol, Coal Tar Solution	0	1
Barley Cream	0	7
Hypophysis Suis D12, Hypophysis Suis D200, Hypophysis Suis D8, Hypophysis Suis Dil. D30	0	1
Prilocaine Hydrochloride, Epinephrine	0	2
Sucrose	0	1
Eleutherococci Radix Dry Extract (16-25:1), Extraction Solvent: Ethanol 30% (V/V)	0	2
Menthol Bp, Eucalyptus Oil Bp	0	1
Calcium Gluconate For Injection	0	4
Ulmus, Corylus Avellana, Alnus, Populus Alba, Willow Pollen	0	2
Ambroxol Hydrochloride, Clenbuterol Hydrochloride	0	9
Flutrimazole	0	4
Olanzapine Micronized	0	4
Cichorium Stanno Cultum Rh Dil. D3	0	2
Darbepoetin Alfa	0	1
Lacidipine	0	29
Atropa Bella-Donna C3, Allium Cepa C3, Schoenocaulon Officinale C3, Gelsemium Sempervirens C3, Kalium Bichromicum C3	0	2
Humulus Lupulus L. Flos	0	2
Polygeline	0	2
Soft Extract Of Matricaria Recutita (2.7-5.5:1), Extraction Agent: Ethanol 95.4% (V/V)	0	1
Dry Extract Of Iceland Moss, Corresponds To 90 Mg To 120 Mg Of Iceland Moss, Extraction Solvent: Water	0	1
Majoranae Herbae Extractum	0	1
Bryonia D10, Bryonia D1000, Bryonia D15, Bryonia D200, Bryonia D30, Bryonia D4, Bryonia D6, Citrullus Colocynthis D10, Citrullus Colocynthis D200, ...	0	1
Ruta Graveolens D8, Melilotus Officinalis D2, Digitalis Purpurea D3, Gelsemium Sempervirens D4, Iris Versicolor D3, Chelidonium Majus D3, Cimicifug...	0	1
Tizanidine Hydrochloride	0	15
Alfatradiol	0	2
Fenoprofen Calcium	0	1
Neomycin Sulfate, Sulfathiazole	0	1
Chenopodium Album	0	1
Arsenicum Album D30, Magnesium Phosphoricum D8, Gnaphalium Polycephalum D4, Aconitum Napellus D4, Citrullus Colocynthis D4	0	1
Crataegus Extract, Valeriana Officinalis Dry Extract	0	1
Hamster Hair	0	1
Phleum Pratense Pollen, Anthoxanthum Odoratum, Lolium Perenne, Poa Pratensis, Arrhenatherum Elatius, Secale Cereale Pollen, Holcus Lanatus Pollen, ...	0	1
Sodium Chloride, Glucose Monohydrate, Magnesium Acetate Tetrahydrate, Potassium Acetate	0	5
Dried Pressed Juice From Purple Coneflower Herb (30-60:1)	0	1
Lycopodium	0	1
Betula, Beech, Oak, Plane Pollen	0	2
Kalium Chloratum D6, Zincum Chloratum D12, Kalium Arsenicosum D12, Calcium Carbonicum D12, Calcarea Phosphorica D6, Kalium Phosphoricum D6	0	1
Remdesivir	0	1
Thiamine Hydrochloride, Calcium Pantothenate, Nicotinamide, Riboflavin, Silybi Mariani Fructus Extractum, Der 20 - 34 : 1, Pyridoxine Hydrochloride	0	1
Acidum Formicicum Dil. D 4	0	2
Ethylmorphine Hydrochloride	0	2
Morniflumate	0	12
Causticum D6, Rhododendron Aureum D4, Calcarea Phosphorica D12, Berberis Vulgaris D4, Solanum Dulcamara D6, Rhus Toxicodendron D12	0	1
Viscum Album Qu, Herba Rec., Ferm. Aqu. Extr. 1:5	0	2
Apple Fruit	0	7
Glucose, Anhydrous, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Acetate Trihydrate	0	1
Peginterferon Beta-1a	0	1
Semaglutide	0	4
Coffea Tosta D20, Stramonium 12dh, Valeriana Officinalis 3dh	0	1
Dimeticone, Silica, Colloidal Anhydrous	0	1
Lincomycin Hydrochloride	0	1
Benzalkonium Chloride, Isopropyl Alcohol, Undecylenic Acid	0	1
Influenza Virus Surface Antigens (Inactivated) Of Strain A/Vietnam/1194/2004 (H5n1)	0	1
Pseudoephedrine Hydrochloride, Cetirizine Dihydrochloride	0	12
Tafluprost	0	9
Eprosartan Mesilate, Hydrochlorothiazide	0	5
Metaraminol Bitartrate	0	1
Camphor, Ethanol 96.6 % (V/V)	0	1
Valine, Acetylcysteine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Glycine, N-Acetyl...	0	2
Amoxicillin Sodium, Potassium Clavulanate	0	17
Furosemide	0	185
Oxybuprocaine Hydrochloride, Tetracaine Hydrochloride	0	1
Cisapride	0	1
Dexamethasone Sodium Metasulphobenzoate, Neomycin Sulfate, Polymyxin B Sulfate	0	1
Ledum Palustre Dil. D4, Toxicodendron Quercifolium Dil. D12, Guajacum Dil. D4, Bellis Perennis Spag. Peka Dil. D8, Arnica Montana Spag. Peka Dil. D...	0	1
Avena Sativa Dil. D1, Lycopus Virginicus Dil. D2, Ferrum Iodatum Dil. D10, Lupulus Dil. D1	0	1
Hydrocortisone, Urea	0	1
Potassium Hydroxide, Dipotassium Hydrogen Phosphate Trihydrate	0	1
Stannum Metallicum Dil. D6, Senecio Jacobaea Ex Herba Ferm 33d Dil. D1 (Hab, Vs. 33d), Spinacia Oleracea E Radice Ferm 34f Dil. D1 (Hab, Vs. 34f), ...	0	1
Echinacea Angustifolia D2, Vincetoxicum D6, Hydrargyrum Biiodatum D4, Sulfur Iodatum D3	0	1
Medorrhinum Nosode D30, Medorrhinum Nosode D200, Medorrhinum Nosode D12	0	1
Calcium Acetate D2, Alchemilla Vulgaris D2, Antimonium Crudum D5, Fucus Vesiculosus D2	0	1
Schoenocaulon Officinale Dil. D4, Avena Sativa Spag. Peka Dil. D1, Piper Methysticum Spag. Peka Dil. D8, Semecarpus Anacardium Dil. D10, Cinchona P...	0	1
Trimebutine Maleate, Medazepam	0	1
Aluminium Acetotartrate	0	11
Flucloxacillin Sodium Monohydrate	0	13
Nitroglycerinum Dil. D3, Selenicereus Grandiflorus Dil. D 1, Spigelia Anthelmia Dil. D 3, Kalium Carbonicum Dil. D3, Crataegus Dil. D1	0	1
Chloroquine Diphosphate	0	1
Cyclopentolate Hydrochloride	0	21
Ascorbic Acid, Dried Ferrous Sulfate	0	4
Heptaminol Hydrochloride, Deanol Aceglumate	0	1
Piretanide, Ramipril	0	2
Sodium Ion, Chloride Ion, Hydrogen Carbonate	0	2
Dry Extract From Milk Thistle Fruit (36-44:1), Corresponding To 70 Mg Of Sylimarin, Calculated As Sylibin, Extraction Solvent: Ethyl Acetate > 96.7%	0	1
Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Glucose, Sodium Citrate Dihydrate	0	1
Blomia Tropicalis	0	32
Riboflavin Sodium Phosphate, Cocarboxylase, Sodium Citrate, Vitamin B6, Potassium Citrate	0	1
Timolol Maleate Ph. Eur.	0	5
Adenosinum-3',5'-Cyclophosphoricum D30	0	1
Extract From Saw Palmetto Fruit (6,5 – 9 : 1) Extraction Solvent: Supercritical Carbon Dioxide	0	2
Naphazoline Nitrate, Anhydrous Lidocaine Hydrochloride	0	1
Cetirizine Dihydrochloride	0	297
Zinc Oxide, Cod-Liver Oil, Glycerol (85 Per Cent)	0	1
Arnica Montana C15, Kalium Phosphoricum C15, Cinchona Pubescens C9, Sulfur Iodatum C9	0	1
Convallaria Majalis Dil. D 2, Kalmia Latifolia Dil. D 2, Nitroglycerinum Dil. D6, Selenicereus Grandiflorus D2, Crataegus Mother Tincture, Iberis A...	0	1
Granit Dil. D9 (Hab, Vs. 6), Gelsemium Sempervirens E Rhizoma Ferm 35b Dil. D3 (Hab, Vs. 35b), Leontopodium Alpinum E Planta Tota Ferm 36 Dil. D3 (...	0	1
Petroleum Rectificatum Trit. D8, Conium Maculatum D3, Anamirta Cocculus Trit. D4	0	1
Silybum Marianum D12, Vipera Berus D12, Pulsatilla Pratensis D30, Secale Cornutum D30, Aesculus Hippocastanum D30, Hamamelis Virginiana D6	0	1
Distillate Of A Mixture Of Rectified Eucalyptus Oil, Rectified Sweet Orange Oil, Rectified Myrtle Oil And Rectified Lemon Oil In A Ratio Of 66:32:1:1	0	5
Lisinopril Anhydrous	0	28
Berberis Vulgaris E Radice W 10% (Hab, Vs. 12f), Lini Oleum Virginale, Solidago Virgaurea Ex Herba Ferm 33c Dil. D3 (Hab, Vs. 33c), Terebinthina La...	0	1
Isoniazid, Pyrazinamide, Rifampicin, Ethambutol Hydrochloride	0	1
Quercus Robur/Petraea E Cortice Cum Calcio Carbonico = D6 Solution (Prepared From Quercus Robur/Petraea E Cortice, Decoctum Ø (Hab Vs.23a) By 5 Mal...	0	1
Terbinafine Hydrochloride	0	123
Acetic Acid, Calcium, Glucose, Magnesium, Potassium, Sodium, Chloride Ion	0	1
Esomeprazole	0	272
Mianserin	0	2
Carbidopa, Entacapone, Levodopa	0	39
Vespa Crabro Dil. D12, Lachesis D30, Lycopodium Clavatum D30, Palladium Metallicum D12	0	1
Antazoline Hydrochloride, Tetryzoline Hydrochloride	0	2
Gentamicin	0	48
Paracetamol, Caffeine, Codeine Phosphate	0	5
Clotiapine	0	3
Diclofenac Diethylamine	0	170
Levomenthol, Peppermint Oil, Cajuput Oil, Camphor, Clove Oil	0	1
Beclometasone Dipropionate Anhydrous	0	23
Ibuprofen	0	1145
Procaine Hydrochloride, Camphor, Racemic, Menthol, Ephedrine Hydrochloride, Yarrow Liquid Extract	0	1
Sulfadiazine Silver Micronised	0	1
Emtricitabine	0	1
Menthol, Camphor, Methyl Salicylate	0	3
Calcium Ion, Magnesium	0	2
Urea-Formaldehyde Resin	0	1
Amiloride Hydrochloride, Furosemide	0	4
Folic Acid, Ferrous Fumarate	0	5
Olive Oil, Refined, Soya-Bean Oil Refined	0	1
Cilostazol	0	40
Dectaflur, Olaflur	0	1
Lactobacillus Casei	0	1
Atropa Bella-Donna Dil. D10, Atropa Bella-Donna Dil. D1000, Atropa Bella-Donna Dil. D30, Atropa Bella-Donna Dil. D200, Chelidonium Majus Dil. D200,...	0	2
Hydrargyrum Sulfuratum Rubrum D4, Chininum Arsenicosum D12, Mercurius Solubilis Hahnemanni D5, Ferrum Phosphoricum D3	0	1
Populus Alba	0	24
Solidaginis Herba	0	1
Dry Extract Of Milk Thistle Fruit (36-44:1) Equivalent To 104 Mg Silymarin, Calculated As Silibinin, Extraction Solvent: Ethyl Acetate	0	1
Manganum Aceticum D6, Luffa Operculata Dil. D6, Sulfur Iodatum D6, Kalium Bichromicum D6, Echinacea Dil. D3, Hydrargyrum Sulfuratum Rubrum D10	0	1
Bryonia Trit. D 3, Phytolacca Americana Trit D 4, Ledum Palustre Trit. D2, Guajacum Ø	0	1
Saccharomyces Boulardii Lyophilised	0	3
Tolterodine	0	3
Aliskiren	0	1
Ferric Maltol	0	1
Neostigmine Bromide	0	2
China Dil. D3, Bryonia Mother Tincture, Ledum Dil D2, Thuja Dil D1, Colchicum Dil. D1, Berberis Vulgaris Mother Tincture, Rhus Toxicodendron Dil. D...	0	1
Artemisia Absinthium Ex Herba, Infusum Dil. D3 (Hab, Vs. 24a), Gentiana Lutea E Radice, Decoctum Dil. D3 (Hab, Vs. 23a), Strychnos Nux-Vomica E Sem...	0	1
Crizotinib	0	1
Hawthorn Leaf And Flower Liquid Extract, Quantified	0	1
Pholcodine	0	6
Sodium Citrate	0	16
Drosera Dil. D6	0	1
Lymecycline	0	21
Betulae Folium, Equisetum Stem, Lovage Root, Taraxaci Herba, Solidaginis Virgaureae Herba, Phaseoli Pericarpium, Taraxacum Officinale Root	0	1
